dataset,subset,model,metric,estimate
nested_development,"similarity_stratum:(0.3,0.4]",mean,n,1676.0
nested_development,"similarity_stratum:(0.3,0.4]",mean,mae,0.8863225829118848
nested_development,"similarity_stratum:(0.3,0.4]",mean,rmse,1.0900711108192016
nested_development,"similarity_stratum:(0.3,0.4]",mean,rae,1.0368249638362868
nested_development,"similarity_stratum:(0.3,0.4]",mean,pearson,-0.07026458721093694
nested_development,"similarity_stratum:(0.3,0.4]",mean,spearman,-0.04640055253876175
nested_development,"similarity_stratum:(0.3,0.4]",mean,bias,-0.09882168620605342
nested_development,"similarity_stratum:(0.3,0.4]",mean,calibration_intercept,16.325668085188358
nested_development,"similarity_stratum:(0.3,0.4]",mean,calibration_slope,-2.777108438619532
nested_development,"similarity_stratum:(0.3,0.4]",frozen_nesso,n,1676.0
nested_development,"similarity_stratum:(0.3,0.4]",frozen_nesso,mae,0.8277850735184172
nested_development,"similarity_stratum:(0.3,0.4]",frozen_nesso,rmse,1.1703636055021578
nested_development,"similarity_stratum:(0.3,0.4]",frozen_nesso,rae,0.9683474679108758
nested_development,"similarity_stratum:(0.3,0.4]",frozen_nesso,pearson,0.39679390370632284
nested_development,"similarity_stratum:(0.3,0.4]",frozen_nesso,spearman,0.3719877673228444
nested_development,"similarity_stratum:(0.3,0.4]",frozen_nesso,bias,0.6094347756462605
nested_development,"similarity_stratum:(0.3,0.4]",frozen_nesso,calibration_intercept,-2.0816369925317892
nested_development,"similarity_stratum:(0.3,0.4]",frozen_nesso,calibration_slope,1.2941839543502447
nested_development,"similarity_stratum:(0.3,0.4]",affine_frozen_nesso,n,1676.0
nested_development,"similarity_stratum:(0.3,0.4]",affine_frozen_nesso,mae,0.8016508413750938
nested_development,"similarity_stratum:(0.3,0.4]",affine_frozen_nesso,rmse,1.002190244186807
nested_development,"similarity_stratum:(0.3,0.4]",affine_frozen_nesso,rae,0.937775501429024
nested_development,"similarity_stratum:(0.3,0.4]",affine_frozen_nesso,pearson,0.391741463412788
nested_development,"similarity_stratum:(0.3,0.4]",affine_frozen_nesso,spearman,0.3701013706387008
nested_development,"similarity_stratum:(0.3,0.4]",affine_frozen_nesso,bias,-0.1031867763895691
nested_development,"similarity_stratum:(0.3,0.4]",affine_frozen_nesso,calibration_intercept,-0.06947753323739407
nested_development,"similarity_stratum:(0.3,0.4]",affine_frozen_nesso,calibration_slope,1.0402317938636916
nested_development,"similarity_stratum:(0.3,0.4]",fine_tuned_nesso,n,1676.0
nested_development,"similarity_stratum:(0.3,0.4]",fine_tuned_nesso,mae,0.6040327446916922
nested_development,"similarity_stratum:(0.3,0.4]",fine_tuned_nesso,rmse,0.8227619740825478
nested_development,"similarity_stratum:(0.3,0.4]",fine_tuned_nesso,rae,0.7066007802862888
nested_development,"similarity_stratum:(0.3,0.4]",fine_tuned_nesso,pearson,0.6530136082022727
nested_development,"similarity_stratum:(0.3,0.4]",fine_tuned_nesso,spearman,0.6035188323111189
nested_development,"similarity_stratum:(0.3,0.4]",fine_tuned_nesso,bias,0.03718310101039503
nested_development,"similarity_stratum:(0.3,0.4]",fine_tuned_nesso,calibration_intercept,-0.3690877267268238
nested_development,"similarity_stratum:(0.3,0.4]",fine_tuned_nesso,calibration_slope,1.0748864087867271
nested_development,"similarity_stratum:(0.3,0.4]",nested_2d_lightgbm,n,1676.0
nested_development,"similarity_stratum:(0.3,0.4]",nested_2d_lightgbm,mae,0.4978507543487916
nested_development,"similarity_stratum:(0.3,0.4]",nested_2d_lightgbm,rmse,0.6963827124843008
nested_development,"similarity_stratum:(0.3,0.4]",nested_2d_lightgbm,rae,0.5823885121799623
nested_development,"similarity_stratum:(0.3,0.4]",nested_2d_lightgbm,pearson,0.7663496301857282
nested_development,"similarity_stratum:(0.3,0.4]",nested_2d_lightgbm,spearman,0.7096792757359379
nested_development,"similarity_stratum:(0.3,0.4]",nested_2d_lightgbm,bias,0.0018183251071386757
nested_development,"similarity_stratum:(0.3,0.4]",nested_2d_lightgbm,calibration_intercept,-0.13611659281455646
nested_development,"similarity_stratum:(0.3,0.4]",nested_2d_lightgbm,calibration_slope,1.0305449446030552
nested_development,"similarity_stratum:(0.4,0.5]",mean,n,864.0
nested_development,"similarity_stratum:(0.4,0.5]",mean,mae,0.981806419435542
nested_development,"similarity_stratum:(0.4,0.5]",mean,rmse,1.1979566903692802
nested_development,"similarity_stratum:(0.4,0.5]",mean,rae,0.9787885222492136
nested_development,"similarity_stratum:(0.4,0.5]",mean,pearson,-0.12555688771841655
nested_development,"similarity_stratum:(0.4,0.5]",mean,spearman,-0.09954997402274232
nested_development,"similarity_stratum:(0.4,0.5]",mean,bias,0.16447945907318448
nested_development,"similarity_stratum:(0.4,0.5]",mean,calibration_intercept,27.346859097369492
nested_development,"similarity_stratum:(0.4,0.5]",mean,calibration_slope,-5.403198904972745
nested_development,"similarity_stratum:(0.4,0.5]",frozen_nesso,n,864.0
nested_development,"similarity_stratum:(0.4,0.5]",frozen_nesso,mae,1.0171231958333333
nested_development,"similarity_stratum:(0.4,0.5]",frozen_nesso,rmse,1.3723005069942986
nested_development,"similarity_stratum:(0.4,0.5]",frozen_nesso,rae,1.013996741198193
nested_development,"similarity_stratum:(0.4,0.5]",frozen_nesso,pearson,0.4121284311268008
nested_development,"similarity_stratum:(0.4,0.5]",frozen_nesso,spearman,0.43694221742844624
