split,isoform,recipe,subgroup,fold,n,mae,bias,spearman,pred_sd,y_sd
random,CYP1A2,inhibitor_nesso,all,1,295,0.6078861274441709,0.01526281287620919,0.5684098834219901,0.5572535228061426,1.0032006369426631
random,CYP1A2,inhibitor_nesso,all,2,288,0.6483775459900838,0.033982208443484874,0.5148520670822131,0.5321530302673738,1.0748155706402844
random,CYP1A2,inhibitor_nesso,all,3,288,0.641390357136033,-0.03449946202750493,0.5405127617761596,0.5719919882766773,1.0621628518336454
random,CYP1A2,inhibitor_nesso,all,4,284,0.6386864692435164,-0.022752287735795303,0.5291358341606268,0.6155175382396048,0.9758420801363648
random,CYP1A2,inhibitor_nesso,MW<215,pooled,22,0.4338728256513983,0.0021089557749884857,0.4624505928853756,0.25403022390140945,0.650216347891422
random,CYP1A2,inhibitor_nesso,MW<215,0,8,0.44795575695448947,0.07097812372373863,0.8095238095238096,0.336366104384911,0.8088575880172985
random,CYP1A2,inhibitor_nesso,MW<215,1,2,0.26571621144142954,-0.26571621144142954,,0.07353614774167161,0.14513668499999977
random,CYP1A2,inhibitor_nesso,MW<215,2,2,0.3391938319889043,-0.19610862582701838,,0.0035698790110956224,0.3427637109999999
random,CYP1A2,inhibitor_nesso,MW<215,3,6,0.6519230945678531,0.20706986103729896,0.14285714285714288,0.1699583085595903,0.6653199484067216
random,CYP1A2,inhibitor_nesso,MW<215,4,4,0.21004936360676507,-0.21004936360676507,0.39999999999999997,0.22345991283962915,0.11905855060893801
random,CYP1A2,inhibitor_nesso,MW>=215,pooled,1390,0.6414205899221506,-0.0005131528001985546,0.525408701799509,0.5650270784501986,1.034420348233726
random,CYP1A2,inhibitor_nesso,MW>=215,0,249,0.6641351612006967,0.0035075445609067347,0.4578530897784688,0.522494839991041,1.0337220988435718
random,CYP1A2,inhibitor_nesso,MW>=215,1,293,0.610221758270128,0.017180758434691367,0.566434587299785,0.557929499262015,1.0047724345416247
random,CYP1A2,inhibitor_nesso,MW>=215,2,286,0.650539669864218,0.035591235256565316,0.5163716899275307,0.5337645116112807,1.0776012257274856
random,CYP1A2,inhibitor_nesso,MW>=215,3,282,0.6411662563396113,-0.03963923485867097,0.550099382461544,0.5755411455177093,1.0689387545794138
random,CYP1A2,inhibitor_nesso,MW>=215,4,280,0.6448098564668986,-0.020076615223352863,0.5271025687280996,0.6173245096457579,0.9800244742780018
random,CYP1A2,interaction,all,pooled,1412,0.7330155547843333,0.0010397027607207657,0.26598629676967056,0.29022488080506437,1.0301112449331373
random,CYP1A2,interaction,all,0,257,0.760618862169531,-0.04531639441813966,0.17455151117545922,0.2851009327112202,1.0275145484023758
random,CYP1A2,interaction,all,1,295,0.7270729778069023,0.03875989915788569,0.29270522684566275,0.26856628000361515,1.0032006369426631
random,CYP1A2,interaction,all,2,288,0.7554379234026176,0.0064093449260068285,0.23594566951601303,0.2841268792725344,1.0748155706402844
random,CYP1A2,interaction,all,3,288,0.7544424649244882,-0.022707773638776994,0.22792108234972613,0.3149447949478045,1.0621628518336454
random,CYP1A2,interaction,all,4,284,0.6697423784741777,0.022444193244018126,0.385086715195394,0.2953000838359373,0.9758420801363648
random,CYP1A2,interaction,MW<215,pooled,22,0.48578391802120535,-0.006786466842054569,0.2783738001129306,0.16369427660165106,0.650216347891422
random,CYP1A2,interaction,MW<215,0,8,0.597871482101805,0.19584356167408518,0.5952380952380953,0.1342171940013592,0.8088575880172985
random,CYP1A2,interaction,MW<215,1,2,0.45606086016311265,-0.45606086016311265,,0.18100880838426514,0.14513668499999977
random,CYP1A2,interaction,MW<215,2,2,0.3970278192076604,-0.22591946442609334,,0.05426410820766048,0.3427637109999999
random,CYP1A2,interaction,MW<215,3,6,0.5846286614834648,0.056372482878379294,0.14285714285714288,0.1693072713789019,0.6653199484067216
random,CYP1A2,interaction,MW<215,4,4,0.17258125300243643,-0.17258125300243643,0.0,0.09895411519786143,0.11905855060893801
random,CYP1A2,interaction,MW>=215,pooled,1390,0.7369285734956921,0.0011635701932826733,0.262639589260066,0.2898282606505527,1.034420348233726
random,CYP1A2,interaction,MW>=215,0,249,0.7658476936576507,-0.053064505457247294,0.17309599689078897,0.2835119009131188,1.0337220988435718
random,CYP1A2,interaction,MW>=215,1,293,0.7289228898727302,0.04213751526246589,0.2873902377819612,0.26841358174342184,1.0047724345416247
random,CYP1A2,interaction,MW>=215,2,286,0.7579442877676171,0.00803402191448305,0.23549928890108607,0.2846322932301615,1.0776012257274856
random,CYP1A2,interaction,MW>=215,3,282,0.7580555245721696,-0.024390332288078194,0.22938285484649032,0.31642937537387517,1.0689387545794138
random,CYP1A2,interaction,MW>=215,4,280,0.6768446802666312,0.0252302710475389,0.37523164471850046,0.2931354176779348,0.9800244742780018
random,CYP1A2,median,all,pooled,1412,0.731965662931303,0.177368750802408,-0.03155050072418585,0.00979248100294075,1.0301112449331373
random,CYP1A2,median,all,0,257,0.7277254589883269,0.1117791139922178,,0.0,1.0275145484023758
random,CYP1A2,median,all,1,295,0.7296642477762711,0.21504365553898322,,8.881784197001252e-16,1.0032006369426631
random,CYP1A2,median,all,2,288,0.7420231250694445,0.18051825006249986,,0.0,1.0748155706402844
random,CYP1A2,median,all,3,288,0.7404571280625,0.14203054991319455,,0.0,1.0621628518336454
random,CYP1A2,median,all,4,284,0.7193831236021128,0.2302306727464792,,8.881784197001252e-16,0.9758420801363648
random,CYP1A2,median,MW<215,pooled,22,0.5376805961818181,-0.09878025349999993,0.23118785588727345,0.010160696644193697,0.650216347891422
random,CYP1A2,median,MW<215,0,8,0.641985663125,0.05537188287499989,,0.0,0.8088575880172985
random,CYP1A2,median,MW<215,1,2,0.5056703169999999,-0.5056703169999999,,0.0,0.14513668499999977
random,CYP1A2,median,MW<215,2,2,0.3427637109999999,-0.24265651199999994,,0.0,0.3427637109999999
random,CYP1A2,median,MW<215,3,6,0.5860066136666666,0.0601155151666668,,0.0,0.6653199484067216
random,CYP1A2,median,MW<215,4,4,0.3700450182499997,-0.3700450182499997,,0.0,0.11905855060893801
random,CYP1A2,median,MW>=215,pooled,1390,0.735040678376259,0.18173945446762596,-0.034632672580764946,0.009782750575829547,1.034420348233726
random,CYP1A2,median,MW>=215,0,249,0.7304801512248996,0.11359139451004004,,8.881784197001252e-16,1.0337220988435718
random,CYP1A2,median,MW>=215,1,293,0.7311932165870306,0.21996320483959056,,0.0,1.0047724345416247
random,CYP1A2,median,MW>=215,2,286,0.7448151489440561,0.18347751413286695,,8.881784197001252e-16,1.0776012257274856
random,CYP1A2,median,MW>=215,3,282,0.7437433092198581,0.14377342299290788,,8.881784197001252e-16,1.0689387545794138
random,CYP1A2,median,MW>=215,4,280,0.7243736679642857,0.23880603976071463,,8.881784197001252e-16,0.9800244742780018
random,CYP1A2,mw,all,pooled,1412,0.7464616156456849,0.00021515284137809155,0.1280467117162981,0.13206099019990972,1.0301112449331373
random,CYP1A2,mw,all,0,257,0.7503019846457598,-0.06388567123068889,0.1184906594089019,0.10966369187116504,1.0275145484023758
random,CYP1A2,mw,all,1,295,0.7425114259200855,0.03868735035894126,0.1426745429368711,0.10561559254107261,1.0032006369426631
random,CYP1A2,mw,all,2,288,0.7586080048689018,0.003322220550546552,0.05626564675436584,0.10747926600622483,1.0748155706402844
random,CYP1A2,mw,all,3,288,0.7699799575452266,-0.023418229758972217,0.1250610674275504,0.166132954921645,1.0621628518336454
