split,n_train,method,n_cells,wmae_cell_mean,wmae_cell_median,wmae_cell_min,wmae_cell_max,weighted_error_sum,weight_sum,raw_mae,bias,fit_seconds_mean,fit_seconds_median,fit_seconds_sum,coverage80,coverage90,width90,wmae_pooled
chemical_cluster,100,head_lora,50,0.6077639899737153,0.6037794875539342,0.5682762138384931,0.658178358081814,134883.5953242232,221956.86511208978,0.8181782545388487,0.44652496321486834,0.6194938584594638,0.6618130974966334,30.97469292297319,0.8133657796514594,0.9100175433885592,4.393486216862996,0.6077018399773578
chemical_cluster,100,head_pretrained,50,0.5937844814588362,0.5947916756365528,0.5440743957095131,0.7584727273357934,131766.17267104652,221956.86511208978,0.7899903265085669,0.4062177847415189,0.7836935118397378,0.807552548500098,39.18467559198689,0.816113154856207,0.9128902285115866,4.314742499796549,0.5936566665982765
chemical_cluster,100,head_random,50,0.5978108838674561,0.5868961471313516,0.5446934972636667,0.7466710784920227,132660.2905199041,221956.86511208978,0.7880938695997783,0.3657938118172936,0.720471647959348,0.7193894455012924,36.0235823979674,0.8173409682876399,0.9103503307286772,4.249650374603272,0.5976850071878143
chemical_cluster,100,morgan_knn,50,0.6445795653262735,0.6372085483534017,0.5863942540144298,0.7641124404562871,143049.18973370205,221956.86511208978,0.8482844007930038,0.40706437303865345,0.030399386801145737,0.026907712999673095,1.519969340057287,0.818829157827842,0.9171907753998729,4.5929463447562675,0.6444909449476194
chemical_cluster,100,morgan_lightgbm,50,0.6709856014347093,0.6637165014609245,0.5995994627170785,0.857721753464786,148943.1812625509,221956.86511208978,0.8405141671639388,0.27652000666316406,0.08252175440131396,0.07926481400136254,4.126087720065698,0.8154818613893289,0.9129439775158203,4.357125182932182,0.671045615945844
chemical_cluster,100,morgan_ridge,50,0.6570938053571937,0.6565014642349182,0.6010732561118882,0.7776630912603382,145855.61094714486,221956.86511208978,0.8607007921097848,0.3605675101892578,0.05241503099932743,0.050763371500579524,2.6207515499663714,0.8179648326665055,0.9110884061473467,4.616910517223852,0.6571349386894915
chemical_cluster,100,native_continuous,50,0.6281891945792168,0.6249984976211377,0.5920253423677274,0.6592760710666775,139400.2716412424,221956.86511208978,0.9149922251561944,0.713037645175738,0.00384460070017667,0.002980088996991981,0.1922300350088335,0.8128829336842012,0.9122588902911666,5.037701569366455,0.628051182696441
chemical_cluster,100,repr_mlp,50,1.0325916737447725,0.9126865493936854,0.6979043170409519,1.9914821038795787,229390.3718583502,221956.86511208978,1.3970288679865257,0.1462976619474718,0.2936876557205687,0.294599193999602,14.684382786028436,0.8349887668608971,0.9144714606661117,6.949982824945449,1.0334907719232134
chemical_cluster,100,repr_ridge,50,0.6302636468001835,0.6206026489649051,0.5771029041756367,0.8132060394010845,139925.24446832752,221956.86511208978,0.8413276528069747,0.30649850171610493,0.030111119040229825,0.027903776997845853,1.5055559520114912,0.821797928806065,0.9115099845152744,4.460149532846026,0.6304163847226094
chemical_cluster,100,scalar_ridge,50,0.6240923611161814,0.620999304557452,0.5749656235708893,0.7384810959870911,138509.95291160655,221956.86511208978,0.8118704991344394,0.33633502148352484,0.009303338099853136,0.008806999499938684,0.4651669049926568,0.8152759055879273,0.9061588034692946,4.330745622637335,0.624039958582304
