outer_fold,candidate,learning_rate,weight_decay,batch_size,max_epochs,patience,min_delta,huber_delta,ensemble_loss_weight,member_loss_weight,gradient_clip_norm,uncertainty_floor,uncertainty_cap_quantile,use_curation_weight,seed,inner_n,inner_mae,inner_rmse,inner_rae,inner_pearson,inner_spearman,inner_bias,inner_calibration_intercept,inner_calibration_slope,inner_best_epochs
1,e2_lr1e-05_wd0.001,1e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7801354782876366,1.0298265483119453,0.8296105706724966,0.4681917079669841,0.44447833348495214,0.1888609642326476,-0.4063250484042462,1.0487235937659611,14;10;13;26
1,e2_lr3e-05_wd0,3e-05,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7328095485104378,0.9746025792053973,0.7792832971375883,0.5408168096047934,0.5058681349314463,0.13527862971421498,-0.5953471670515896,1.1043325200471656,26;29;29;29
1,e2_lr3e-05_wd0.0001,3e-05,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7328095485104378,0.9746025792053973,0.7792832971375883,0.5408168096047934,0.5058681349314463,0.13527862971421498,-0.5953471670515896,1.1043325200471656,26;29;29;29
1,e2_lr3e-05_wd0.001,3e-05,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.7328101624271379,0.974600559207127,0.7792839499880202,0.5408122307374047,0.5058577853195867,0.13524797790865814,-0.5951586950807457,1.1042974551969067,26;29;29;29
1,e2_lr0.0001_wd0,0.0001,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6809419283203788,0.9186968557006213,0.7241263055856235,0.6099833695757553,0.5739644668326485,0.13250599178545727,-0.4891807349219904,1.0809361751220223,28;30;27;30
1,e2_lr0.0001_wd0.0001,0.0001,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6809419283203788,0.9186968557006213,0.7241263055856235,0.6099833695757553,0.5739644668326485,0.13250599178545727,-0.4891807349219904,1.0809361751220223,28;30;27;30
1,e2_lr0.0001_wd0.001,0.0001,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6810123773758455,0.9187661265136293,0.7242012224208857,0.6099420694871104,0.5740350255093483,0.132764365063781,-0.4889680641407071,1.080824547686698,28;30;27;30
1,e2_lr0.0003_wd0,0.0003,0.0,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.639036455613076,0.8687421041034374,0.6795632468675219,0.6551061374537553,0.6239939038925115,0.07615513635920372,-0.1309864726129206,1.0126034171774347,28;26;29;22
1,e2_lr0.0003_wd0.0001,0.0003,0.0001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6377867561933949,0.8662053051279655,0.6782342932721714,0.6581269442885328,0.626626125042621,0.07956197305607804,-0.19190015951507872,1.0258016174924218,28;26;29;26
1,e2_lr0.0003_wd0.001,0.0003,0.001,64,30,5,0.005,0.5,0.5,0.25,1.0,,0.95,False,42,2675.0,0.6388510440849611,0.8685834732231004,0.6793660768016427,0.6551254367285616,0.6244195357834804,0.07460624359825846,-0.12650720360967455,1.0119340958146053,27;26;29;22
