feature,gain
molfeat_rdkit_fp_1830,50.933132824476345
molfeat_rdkit_count_fp_472,50.90139198079705
molfeat_pattern_fp_2046,50.88725810474716
molfeat_rdkit_count_fp_1926,50.86587707537692
molfeat_erg_fp_78,50.81406008019112
molfeat_pharm2d_Desc_41,50.797536052949724
molfeat_rdkit_count_fp_1553,50.78362931713345
molfeat_rdkit_fp_1916,50.60479733463144
rdkit_morgan_ecfp4_chiral_1810,50.38904877499444
molfeat_rdkit_count_fp_449,50.35194726738846
molfeat_rdkit_fp_1967,50.30733142292593
molfeat_layered_fp_1519,50.303377637948145
molfeat_rdkit_fp_1629,50.25469196243212
molfeat_topological_fp_1325,50.200274768751115
molfeat_rdkit_count_fp_1720,50.17012542847078
molfeat_rdkit_count_fp_469,50.13182210931554
molfeat_avalon_fp_388,50.06507261942606
molfeat_rdkit_count_fp_246,50.0444865622354
molfeat_rdkit_fp_1542,49.97944108992815
molfeat_rdkit_fp_889,49.97438477548421
molfeat_avalon_fp_58,49.964442053699166
molfeat_rdkit_count_fp_1050,49.94030876467004
molfeat_rdkit_count_fp_1099,49.86340032735025
molfeat_rdkit_count_fp_1986,49.86289224915672
molfeat_rdkit_fp_1584,49.74505351968109
rdkit_atompair_hashed_0844,49.66055995388888
molfeat_layered_fp_406,49.648864299291745
molfeat_cats2d_AR_bins_1,49.540671260587985
molfeat_rdkit_fp_600,49.427604023792085
molfeat_layered_fp_397,49.39111037696712
molfeat_rdkit_count_fp_1088,49.3070620348386
molfeat_rdkit_fp_12,49.21366443646839
molfeat_rdkit_fp_504,49.199142616172324
molfeat_rdkit_count_fp_1044,49.18868558225222
molfeat_rdkit_count_fp_155,49.17991302835289
rdkit_maccs_019,49.16951456069946
molfeat_rdkit_count_fp_933,49.15494094314054
molfeat_rdkit_fp_1503,49.046296757692474
molfeat_layered_fp_1414,48.97903581474675
molfeat_rdkit_fp_408,48.86909548204858
molfeat_rdkit_count_fp_1049,48.85487177770701
molfeat_layered_fp_1309,48.65104671219306
molfeat_rdkit_count_fp_901,48.47574718410033
molfeat_rdkit_fp_72,48.42963726355229
molfeat_rdkit_fp_637,48.3352223309339
molfeat_rdkit_fp_84,48.22183546051383
molfeat_rdkit_fp_353,48.171551134606126
molfeat_layered_fp_895,48.149743908154775
molfeat_avalon_fp_14,48.13559478893876
rdkit_atompair_hashed_1061,47.97913335759658
molfeat_rdkit_count_fp_1469,47.92772993713152
molfeat_rdkit_count_fp_540,47.88694663621136
molfeat_rdkit_fp_1216,47.859538713778605
molfeat_avalon_fp_99,47.80546374652768
molfeat_rdkit_fp_1326,47.57022143892827
molfeat_secfp_fp_514,47.50446621179581
rdkit_morgan_ecfp4_chiral_0307,47.50291604481754
molfeat_pharm2d_Desc_548,47.40580108226277
molfeat_rdkit_count_fp_1242,47.349462139816026
molfeat_rdkit_fp_109,47.31448603986064
molfeat_rdkit_count_fp_401,47.198666480369866
molfeat_avalon_fp_481,46.97379088569433
molfeat_desc2d_SMR_VSA9,46.96500990614295
molfeat_rdkit_count_fp_407,46.91613636300317
molfeat_rdkit_fp_299,46.867858601530315
molfeat_rdkit_count_fp_1108,46.82232942056144
rdkit_atompair_hashed_1121,46.80229208040983
molfeat_rdkit_fp_941,46.70043554492295
molfeat_avalon_fp_311,46.65473826033995
molfeat_erg_fp_155,46.65282666716958
