task,budget,fold,method,epoch,weighted_huber
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,36,0.3605383915101763
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,37,0.35885462468722373
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,38,0.3571308925568435
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,39,0.3554112797799167
fold0__draw0__n500__head_plus_lora__seed42,500,0,head_plus_lora,40,0.35375167584475603
fold1__draw0__n100__head_only__seed42,100,1,head_only,1,0.39128126490071935
fold1__draw0__n100__head_only__seed42,100,1,head_only,2,0.3753838164871297
fold1__draw0__n100__head_only__seed42,100,1,head_only,3,0.36360223396150104
fold1__draw0__n100__head_only__seed42,100,1,head_only,4,0.3560021253611012
fold1__draw0__n100__head_only__seed42,100,1,head_only,5,0.352381853793986
fold1__draw0__n100__head_only__seed42,100,1,head_only,6,0.3517099710868479
fold1__draw0__n100__head_only__seed42,100,1,head_only,7,0.3524193703647711
fold1__draw0__n100__head_only__seed42,100,1,head_only,8,0.35280761005782324
fold1__draw0__n100__head_only__seed42,100,1,head_only,9,0.35198026633270274
fold1__draw0__n100__head_only__seed42,100,1,head_only,10,0.34984436487161474
fold1__draw0__n100__head_only__seed42,100,1,head_only,11,0.34680675275438944
fold1__draw0__n100__head_only__seed42,100,1,head_only,12,0.3433971887017151
fold1__draw0__n100__head_only__seed42,100,1,head_only,13,0.34021567947570475
fold1__draw0__n100__head_only__seed42,100,1,head_only,14,0.3375911015366455
fold1__draw0__n100__head_only__seed42,100,1,head_only,15,0.33568501898116665
fold1__draw0__n100__head_only__seed42,100,1,head_only,16,0.3344016799894689
fold1__draw0__n100__head_only__seed42,100,1,head_only,17,0.3335031836866331
fold1__draw0__n100__head_only__seed42,100,1,head_only,18,0.33269427460730583
fold1__draw0__n100__head_only__seed42,100,1,head_only,19,0.33172386692950795
fold1__draw0__n100__head_only__seed42,100,1,head_only,20,0.3304087656440515
fold1__draw0__n100__head_only__seed42,100,1,head_only,21,0.3287489792045015
fold1__draw0__n100__head_only__seed42,100,1,head_only,22,0.3268582741035857
fold1__draw0__n100__head_only__seed42,100,1,head_only,23,0.3249087658679457
fold1__draw0__n100__head_only__seed42,100,1,head_only,24,0.32308859867777073
fold1__draw0__n100__head_only__seed42,100,1,head_only,25,0.3215286934278083
fold1__draw0__n100__head_only__seed42,100,1,head_only,26,0.32025368696645273
fold1__draw0__n100__head_only__seed42,100,1,head_only,27,0.31918868163529623
fold1__draw0__n100__head_only__seed42,100,1,head_only,28,0.3182089195821618
fold1__draw0__n100__head_only__seed42,100,1,head_only,29,0.31715006360307285
fold1__draw0__n100__head_only__seed42,100,1,head_only,30,0.31592341212268593
fold1__draw0__n100__head_only__seed42,100,1,head_only,31,0.3145533807992251
fold1__draw0__n100__head_only__seed42,100,1,head_only,32,0.3131519930598188
fold1__draw0__n100__head_only__seed42,100,1,head_only,33,0.31184414367226054
fold1__draw0__n100__head_only__seed42,100,1,head_only,34,0.3106713626511919
fold1__draw0__n100__head_only__seed42,100,1,head_only,35,0.3096074028144358
fold1__draw0__n100__head_only__seed42,100,1,head_only,36,0.3085697349415568
fold1__draw0__n100__head_only__seed42,100,1,head_only,37,0.3074771075134777
fold1__draw0__n100__head_only__seed42,100,1,head_only,38,0.30629869228323514
fold1__draw0__n100__head_only__seed42,100,1,head_only,39,0.3050334598920017
fold1__draw0__n100__head_only__seed42,100,1,head_only,40,0.3037442563536388
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,1,0.39128126490071935
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,2,0.3748557626073534
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,3,0.3626677753763943
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,4,0.354843363839791
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,5,0.3511556917455465
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,6,0.3504755347401556
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,7,0.35095956700939723
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,8,0.3508027795655835
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,9,0.3491976160153172
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,10,0.34622519126014595
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,11,0.3424150468734979
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,12,0.33838440024074146
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,13,0.3347128268526376
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,14,0.3317339229159453
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,15,0.3294814499104177
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,16,0.3277750150306815
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,17,0.3263086028214275
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,18,0.32475424044910184
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,19,0.32282100064556923
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,20,0.3203814796071356
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,21,0.3175052877290909
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,22,0.3143814033712715
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,23,0.31122665274187966
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,24,0.30820995330668666
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,25,0.30540848451232705
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,26,0.3026992986878554
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,27,0.29988473914818314
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,28,0.29678719355933936
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,29,0.29336004700326157
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,30,0.28972428879387735
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,31,0.2860019572259205
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,32,0.2823090024742214
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,33,0.2786335218820568
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,34,0.27495668824258246
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,35,0.27114959632490354
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,36,0.26735261009275746
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,37,0.26368429319882125
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,38,0.26025455767739913
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,39,0.25702888653418654
fold1__draw0__n100__head_plus_lora__seed42,100,1,head_plus_lora,40,0.2537271831911312
fold1__draw0__n500__head_only__seed42,500,1,head_only,1,0.39013328670177216
fold1__draw0__n500__head_only__seed42,500,1,head_only,2,0.3804303904664281
fold1__draw0__n500__head_only__seed42,500,1,head_only,3,0.3748144540790719
fold1__draw0__n500__head_only__seed42,500,1,head_only,4,0.37287614509322964
fold1__draw0__n500__head_only__seed42,500,1,head_only,5,0.3732399146956821
fold1__draw0__n500__head_only__seed42,500,1,head_only,6,0.3737917534969899
fold1__draw0__n500__head_only__seed42,500,1,head_only,7,0.3733021444757584
fold1__draw0__n500__head_only__seed42,500,1,head_only,8,0.37175109826224867
fold1__draw0__n500__head_only__seed42,500,1,head_only,9,0.3696679564016125
fold1__draw0__n500__head_only__seed42,500,1,head_only,10,0.36762067283161315
fold1__draw0__n500__head_only__seed42,500,1,head_only,11,0.36598405007657675
fold1__draw0__n500__head_only__seed42,500,1,head_only,12,0.3648854731846072
fold1__draw0__n500__head_only__seed42,500,1,head_only,13,0.3642432833743232
fold1__draw0__n500__head_only__seed42,500,1,head_only,14,0.36382987315589865
fold1__draw0__n500__head_only__seed42,500,1,head_only,15,0.36339742473684034
fold1__draw0__n500__head_only__seed42,500,1,head_only,16,0.3627794051047142
fold1__draw0__n500__head_only__seed42,500,1,head_only,17,0.3619287181898563
fold1__draw0__n500__head_only__seed42,500,1,head_only,18,0.3609001988849059
fold1__draw0__n500__head_only__seed42,500,1,head_only,19,0.3598224254051843
fold1__draw0__n500__head_only__seed42,500,1,head_only,20,0.35882888109997424
fold1__draw0__n500__head_only__seed42,500,1,head_only,21,0.358006335758279
fold1__draw0__n500__head_only__seed42,500,1,head_only,22,0.3573695246671704
fold1__draw0__n500__head_only__seed42,500,1,head_only,23,0.35685444422906276
fold1__draw0__n500__head_only__seed42,500,1,head_only,24,0.3563652528324237
fold1__draw0__n500__head_only__seed42,500,1,head_only,25,0.3558057263871124
fold1__draw0__n500__head_only__seed42,500,1,head_only,26,0.35513829474717795
fold1__draw0__n500__head_only__seed42,500,1,head_only,27,0.35438953452806093
fold1__draw0__n500__head_only__seed42,500,1,head_only,28,0.3536175478776613
fold1__draw0__n500__head_only__seed42,500,1,head_only,29,0.3528868334482229
fold1__draw0__n500__head_only__seed42,500,1,head_only,30,0.3522327447404887
fold1__draw0__n500__head_only__seed42,500,1,head_only,31,0.35166026783184623
fold1__draw0__n500__head_only__seed42,500,1,head_only,32,0.3511318958977392
fold1__draw0__n500__head_only__seed42,500,1,head_only,33,0.3505997041069584
fold1__draw0__n500__head_only__seed42,500,1,head_only,34,0.3500342771852214
fold1__draw0__n500__head_only__seed42,500,1,head_only,35,0.3494238864737634
fold1__draw0__n500__head_only__seed42,500,1,head_only,36,0.3487911894796838
fold1__draw0__n500__head_only__seed42,500,1,head_only,37,0.34816474437341777
fold1__draw0__n500__head_only__seed42,500,1,head_only,38,0.34757883854361893
fold1__draw0__n500__head_only__seed42,500,1,head_only,39,0.3470331580871395
fold1__draw0__n500__head_only__seed42,500,1,head_only,40,0.34650938250268304
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,1,0.39013328670177216
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,2,0.38014853150478956
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,3,0.3744196669134219
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,4,0.3725069407802577
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,5,0.3728404207627528
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,6,0.3731303691437319
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,7,0.3722384641244363
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,8,0.37028191780583697
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,9,0.3678841821863573
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,10,0.36562160640590413
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,11,0.3638259447464449
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,12,0.3625757727859593
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,13,0.36173209735146195
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,14,0.36102368094809156
fold1__draw0__n500__head_plus_lora__seed42,500,1,head_plus_lora,15,0.3601974962189445
