budget,method,similarity_lower,similarity_upper,n,weight_sum,effective_n,weighted_mae,mae,spearman,bias,weighted_bias,rmse,observed_mean,predicted_mean,observed_sd,predicted_sd,sd_ratio,observed_iqr,predicted_iqr,iqr_ratio,prediction_min,prediction_max,observed_min,observed_max,calibration_slope_descriptive,weighted_mae_floor_005,weighted_mae_floor_020,coverage_80,width_80,coverage_90,width_90
500,head_only,0.3,0.35,2414,16063.501726111306,2015.712525940153,0.5725448726536291,0.776559835818158,0.5000148077370088,0.44650561874862693,0.10486792129991798,1.071046181895021,4.30232334474601,4.748828963494637,1.1218298007550147,0.39415948538113543,0.35135408697099857,1.5200000000000005,0.41860878467559814,0.27540051623394607,1.3770432472229004,5.896872520446777,1.61,7.54855421686747,1.500019457344983,0.5619016234474602,0.6394873392810033,0.7667771333885667,2.3210581538809563,0.899751449875725,3.8144734120151678
500,head_plus_lora,0.0,0.2,20,93.22055313714478,12.606483922832012,1.1628711895048658,1.4336640882492067,0.7744360902255639,1.145102911949158,0.657049757761352,1.647795144046167,3.2940000000000005,4.439102911949158,1.5569341668805396,1.1552916558506046,0.742029868973418,2.0825,1.101366400718689,0.5288674193126958,1.6563935279846191,5.700732707977295,1.78,6.69,0.8821370913459776,1.1434721381100628,1.2590396774488506,0.4,2.221358779907227,0.7,3.6048971538543695
500,head_plus_lora,0.2,0.3,910,6038.964231960527,754.1047951083781,0.5727590548554939,0.7937920669618544,0.45084995220360646,0.4629675906149896,0.12213209236660837,1.1137386125598285,4.302983516483517,4.765951107098506,1.1406661706718169,0.5315206271134594,0.4659738675342763,1.5074999999999994,0.5711394548416138,0.3788653100110209,0.9692697525024414,5.861712455749512,1.62,6.87,0.9867801832869139,0.5609957771772067,0.6405190240415821,0.7461538461538462,2.1653510513305663,0.878021978021978,3.552101524772225
500,head_plus_lora,0.3,0.35,2414,16063.501726111306,2015.712525940153,0.5531084201793618,0.7368806301852173,0.557513145122054,0.398749370149667,0.08509722475156786,1.0153958896669917,4.30232334474601,4.701072714895677,1.1218298007550147,0.49543842906570174,0.44163422003254094,1.5200000000000005,0.5354644060134888,0.3522792144825583,0.9917740821838379,5.912570476531982,1.61,7.54855421686747,1.2872475161973655,0.5428176884934072,0.6127075982672104,0.7676056338028169,2.1641142342795785,0.9009942004971002,3.552365370326133
500,native_continuous,0.0,0.2,20,93.22055313714478,12.606483922832012,1.5588356789534954,2.144318350791931,0.6330827067669172,2.0148909864425657,1.281155789715006,2.370205804535689,3.2940000000000005,5.308890986442566,1.5569341668805396,0.6447119477856159,0.41409069278590976,2.0825,0.9531848430633545,0.45771180939416783,4.1242241859436035,6.276876926422119,1.78,6.69,1.5416779126400746,1.4494911752705975,1.7685071137857176,0.25,2.8704050655364997,0.5,4.460991744995118
500,native_continuous,0.2,0.3,910,6038.964231960527,754.1047951083781,0.6499983392809507,0.9656178714626439,0.2876613602104444,0.7841725110064496,0.38492191171379614,1.353099226659467,4.302983516483517,5.087156027489966,1.1406661706718169,0.36274440198811314,0.3180110108590912,1.5074999999999994,0.4499366283416748,0.298465425102272,3.9850220680236816,6.7233123779296875,1.62,6.87,0.8236284260075363,0.6124459292894262,0.7641278380600388,0.7505494505494505,2.774112635434329,0.865934065934066,4.434354325095377
500,native_continuous,0.3,0.35,2414,16063.501726111306,2015.712525940153,0.6132566235876256,0.8845204211294725,0.4268131547356646,0.67492436689232,0.30913985353196,1.22346710857362,4.30232334474601,4.97724771163833,1.1218298007550147,0.32949088249661895,0.2937084415789853,1.5200000000000005,0.39204084873199463,0.2579216110078911,3.730055809020996,7.441765785217285,1.61,7.54855421686747,1.5001140054421396,0.5745471692760452,0.7160941444002606,0.7630488815244407,2.7704274226696715,0.8943661971830986,4.437848401484454
500,repr_ridge_stable,0.0,0.2,20,93.22055313714478,12.606483922832012,0.5743814861993921,0.7017885688850197,0.8225563909774435,0.3358578708232406,-0.060162540615922626,0.866108923424345,3.2940000000000005,3.6298578708232405,1.5569341668805396,1.2544892568472792,0.805743289300898,2.0825,2.061192898672904,0.9897684987624988,1.8684266056493657,5.849013229704841,1.78,6.69,1.067659238713269,0.5584071213862886,0.6287062088713186,0.75,2.0067636273107086,0.85,2.7923979684955
500,repr_ridge_stable,0.2,0.3,910,6038.964231960527,754.1047951083781,0.5501162184337167,0.7006739345880231,0.5536801556806982,0.26745560491817283,-0.018959094414790167,0.9704864253108517,4.302983516483517,4.57043912140169,1.1406661706718169,0.6975301623920305,0.6115112206590706,1.5074999999999994,0.7585176645712624,0.5031626298980183,0.9828449704193631,6.585691696016503,1.62,6.87,0.9427185209591057,0.5478123196274141,0.59077306944729,0.7681318681318682,1.9709239960637939,0.8791208791208791,2.7311211492651095
500,repr_ridge_stable,0.3,0.35,2414,16063.501726111306,2015.712525940153,0.528353417809006,0.6534677218989136,0.6235095163635384,0.22407696460588764,-0.019831446622601164,0.904842691272966,4.30232334474601,4.526400309351897,1.1218298007550147,0.737365507382895,0.6572882150987901,1.5200000000000005,0.7676058488250455,0.505003847911214,-1.4198932882013615,6.765703559937759,1.61,7.54855421686747,0.9505841276709838,0.5293177605669784,0.5645455847001475,0.7891466445733223,1.96956130544067,0.8794531897265948,2.7306039891497322
