scope,outer_fold,objective,delta,objective_label,learning_rate,candidate,candidate_order,global_candidate_order,native_loss,best_epochs,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
outer_training,3.0,mse,,mse,0.03,mse_lr0.03,4,4,0.8023256842666697,10;11;19;7,2675.0,0.6440035842276979,0.8608931895746456,0.6917428254529591,0.6612438018169681,0.6307704795195341,0.07972568879653147,-0.46794803757268055,1.0888003515472666
outer_training,3.0,mae,,mae,0.0003,mae_lr0.0003,0,5,0.6769500303491254,23;24;23;24,2675.0,0.6501512210512629,0.8868505576800769,0.6983461794875353,0.6401711743268349,0.6117279604345198,0.13592568230441582,-0.37545779735213336,1.0540941930206442
outer_training,3.0,mae,,mae,0.001,mae_lr0.001,1,6,0.6756560945288043,12;8;24;8,2675.0,0.6495582429855582,0.8807130906944883,0.6977092446433075,0.6426124179894517,0.6116446976501143,0.10618807046248319,-0.3783348433904053,1.0618751872797219
outer_training,3.0,mae,,mae,0.003,mae_lr0.003,2,7,0.6731545282969965,15;8;23;13,2675.0,0.6383469340909106,0.8637504077349373,0.6856668543806667,0.6562943660593739,0.6274429177368943,0.08110773275981224,-0.10202416967588569,1.0047828260790554
outer_training,3.0,mae,,mae,0.01,mae_lr0.01,3,8,0.6934911778708485,7;8;5;6,2675.0,0.6555184632012575,0.8912040892881123,0.7041112890935322,0.6326742086995285,0.610511371875285,0.12320464296911149,-0.16410530796290407,1.0092633210200674
outer_training,3.0,mae,,mae,0.03,mae_lr0.03,4,9,0.6881080583322828,4;14;7;13,2675.0,0.6551565284431337,0.8922437425330498,0.7037225245301882,0.6309749813554495,0.605092471116199,0.11736204791327288,0.01744432409503154,0.9694281424362873
outer_training,3.0,huber,0.25,huber_0.25,0.0003,huber_0.25_lr0.0003,0,10,0.14102959349333682,29;26;22;28,2675.0,0.6494425870579893,0.8858562008226274,0.6975850152755272,0.6409932361056314,0.6143677983095087,0.13543856453708183,-0.3499331165826838,1.0484452209727362
outer_training,3.0,huber,0.25,huber_0.25,0.001,huber_0.25_lr0.001,1,11,0.13892555925890665,24;8;24;15,2675.0,0.6407013147323843,0.873296217456461,0.6881957625374092,0.6514136919673488,0.6219620524871042,0.12078531793380237,-0.22491178520181437,1.0235958437160466
outer_training,3.0,huber,0.25,huber_0.25,0.003,huber_0.25_lr0.003,2,12,0.13822232691484077,11;8;28;18,2675.0,0.6373413410316916,0.8684243745067702,0.6845867178704419,0.654836885715194,0.6258317831627982,0.11012596016767769,-0.16259767104281894,1.0119192767904637
outer_training,3.0,huber,0.25,huber_0.25,0.01,huber_0.25_lr0.01,3,13,0.14197736679950607,10;4;28;7,2675.0,0.6488933938735912,0.8836050068680743,0.6969951110352416,0.6373596259370167,0.6075602781349996,0.09703953121345518,-0.05502753334410958,0.9904282587644622
outer_training,3.0,huber,0.25,huber_0.25,0.03,huber_0.25_lr0.03,4,14,0.14605587809999412,4;4;8;6,2675.0,0.6676279317433388,0.9037003769804016,0.7171184185399908,0.6141491137666945,0.5817608049695234,0.08677398728468493,-0.01925572610937265,0.9845810146247143
outer_training,3.0,huber,0.5,huber_0.5,0.0003,huber_0.5_lr0.0003,0,15,0.23576672559586642,23;26;29;28,2675.0,0.6471247376260155,0.878274087334652,0.6950953463446146,0.6443745317717648,0.6164976057680226,0.10285994023955657,-0.3178162536254789,1.0489093949257131
outer_training,3.0,huber,0.5,huber_0.5,0.001,huber_0.5_lr0.001,1,16,0.23056297101707102,24;12;24;18,2675.0,0.6370219717351989,0.8663193332356193,0.6842436740971937,0.6596781580926512,0.6304082084323183,0.11997259819654446,-0.42930473653965845,1.070109910270804
outer_training,3.0,huber,0.5,huber_0.5,0.003,huber_0.5_lr0.003,2,17,0.23605653098253446,11;10;9;5,2675.0,0.6512758910692541,0.8824000215716976,0.6995542199938322,0.6410290316723088,0.6105213927829566,0.10544985621924498,-0.41523510429936783,1.0704444801527488
outer_training,3.0,huber,0.5,huber_0.5,0.01,huber_0.5_lr0.01,3,18,0.23855885334661073,7;14;8;6,2675.0,0.6541011786225599,0.8788695777206273,0.7025889428474085,0.6386079507172576,0.6123387439067085,0.0564529165155621,-0.06486364124506322,1.0019341298785116
outer_training,3.0,huber,0.5,huber_0.5,0.03,huber_0.5_lr0.03,4,19,0.25194398227139053,7;14;8;10,2675.0,0.6516112367421466,0.8860718245912163,0.6999144244537938,0.6370117438250554,0.6007340614653615,0.10994197954676761,-0.32742903677831003,1.0494056079474967
outer_training,3.0,huber,1.0,huber_1,0.0003,huber_1_lr0.0003,0,20,0.33966797380803904,29;18;22;21,2675.0,0.6510575401079788,0.880259146942462,0.6993196829282131,0.6442678475686303,0.6159851477532037,0.1098418287699669,-0.4646528493620965,1.0806027412625936
outer_training,3.0,huber,1.0,huber_1,0.001,huber_1_lr0.001,1,21,0.3310906002120437,14;14;22;23,2675.0,0.6379148897390298,0.8663095101217564,0.6852027830804279,0.6616197732126012,0.6322330155127353,0.12755018949544103,-0.5247416962047773,1.0898688282095705
outer_training,3.0,huber,1.0,huber_1,0.003,huber_1_lr0.003,2,22,0.3351329491851486,14;9;12;7,2675.0,0.644214719507273,0.8706114242356514,0.691969611946735,0.6498778694028243,0.6263842562180787,0.08459859395731062,-0.2131992676316029,1.0293828283111117
outer_training,3.0,huber,1.0,huber_1,0.01,huber_1_lr0.01,3,23,0.3380816107041368,8;5;18;7,2675.0,0.6471162801498362,0.868426192598139,0.695086261925503,0.6479941174072609,0.6221378826084831,0.023671822080342648,0.02382770907140814,0.9889940433316734
outer_training,3.0,huber,1.0,huber_1,0.03,huber_1_lr0.03,4,24,0.3391995847782242,10;5;13;7,2675.0,0.6500636176694018,0.8810245631566315,0.6982520821682471,0.6452015419759582,0.6155125791017807,0.12107531433943061,-0.4961473866608939,1.0849885786078548
outer_training,3.0,huber,2.0,huber_2,0.0003,huber_2_lr0.0003,0,25,0.4049029701558229,29;17;22;21,2675.0,0.6559808446960828,0.8769079926937271,0.7046079463940519,0.6465768156590065,0.6158338758412094,0.0756773436407264,-0.6494410731424215,1.1313619500283505
outer_training,3.0,huber,2.0,huber_2,0.001,huber_2_lr0.001,1,26,0.38670980765440754,21;14;22;15,2675.0,0.638863390887432,0.8558184715937839,0.6862215955224858,0.6696756796740764,0.6388447476215527,0.09465233234637037,-0.6364794643574082,1.1235135581910407
outer_training,3.0,huber,2.0,huber_2,0.003,huber_2_lr0.003,2,27,0.3987342005912389,11;5;13;4,2675.0,0.656932295404062,0.8682600399663246,0.7056299270431287,0.6491413518764928,0.619622343928122,0.009453748565208213,-0.2994196561632112,1.067409099597032
outer_training,3.0,huber,2.0,huber_2,0.01,huber_2_lr0.01,3,28,0.3945294804105135,10;14;16;7,2675.0,0.6420649800047495,0.8657041714258258,0.6896605147400063,0.6639567883545969,0.6310477459234687,0.12299934772722974,-0.7140489645809546,1.1338691417752718
outer_training,3.0,huber,2.0,huber_2,0.03,huber_2_lr0.03,4,29,0.4121225982514497,7;5;11;10,2675.0,0.6570949276777984,0.8812187591319297,0.7058046150593129,0.6463174271964834,0.616142529197609,0.09994908789643403,-0.7978697160035746,1.1589043745266672
outer_training,4.0,mse,,mse,0.0003,mse_lr0.0003,0,0,0.8017105758190155,27;20;17;19,2676.0,0.63752619604947,0.8661813116382764,0.7219544580386479,0.6398290008352786,0.6110769917383913,0.1071870158796688,-1.2083998428600118,1.2470648733009106
outer_training,4.0,mse,,mse,0.001,mse_lr0.001,1,1,0.7713515311479568,21;13;14;14,2676.0,0.6240641338431446,0.8455118262750595,0.7067096008320335,0.6539036003847408,0.6236709195041465,0.07837634701489832,-0.8595070062380696,1.176392357392337
outer_training,4.0,mse,,mse,0.003,mse_lr0.003,2,2,0.7801385819911957,18;5;19;4,2676.0,0.6315157074587961,0.8458814070588931,0.7151479941475692,0.6451697081558753,0.6209253575863453,0.01790823407361823,-0.4631597351027888,1.101937152439873
outer_training,4.0,mse,,mse,0.01,mse_lr0.01,3,3,0.7885893136262894,16;8;16;4,2676.0,0.634414912063625,0.85645939987998,0.7184311434553037,0.6373062567001314,0.6123367169455104,0.07236813805865741,-0.5748133031713433,1.1136146624758851
outer_training,4.0,mse,,mse,0.03,mse_lr0.03,4,4,0.7621981054544449,14;26;15;16,2676.0,0.616568136117742,0.8358286324888315,0.6982209002753554,0.6585860306726796,0.627961498104355,0.06667981324298998,-0.5216283499419886,1.1030070525785192
outer_training,4.0,mae,,mae,0.0003,mae_lr0.0003,0,5,0.6549869030714035,29;18;26;30,2676.0,0.628777193038277,0.8678545821625551,0.712046815393585,0.6308356535125142,0.6061371048705455,0.12758533313259915,-0.5603323726819653,1.0966475457899216
outer_training,4.0,mae,,mae,0.001,mae_lr0.001,1,6,0.6540939211845398,22;11;18;18,2676.0,0.6247125705498416,0.8593056489149615,0.7074439106910742,0.6385389442936531,0.6115134621900629,0.11258027186610915,-0.5826760207544999,1.105341835360823
outer_training,4.0,mae,,mae,0.003,mae_lr0.003,2,7,0.6448283195495605,9;18;19;18,2676.0,0.6171030310759473,0.849074020294558,0.6988266319332099,0.6473987553231976,0.6217130374646219,0.10141455906335334,-0.49021757298551294,1.087343819711388
outer_training,4.0,mae,,mae,0.01,mae_lr0.01,3,8,0.6628106087446213,10;5;12;6,2676.0,0.6352309898398225,0.8795806397981765,0.7193552952662927,0.6244258461885739,0.5976971442934895,0.15897572425573359,-0.7006484613350886,1.1201322669486533
outer_training,4.0,mae,,mae,0.03,mae_lr0.03,4,9,0.6720639318227768,6;5;9;11,2676.0,0.6364040642705934,0.8709879244706739,0.7206837211727953,0.6196983454813095,0.59582938693575,0.08284732189003625,-0.3642742847333024,1.0634868139089386
outer_training,4.0,huber,0.25,huber_0.25,0.0003,huber_0.25_lr0.0003,0,10,0.13560926914215088,29;20;30;26,2676.0,0.629878075396001,0.8733807515411822,0.713293488755182,0.6316604898806228,0.6083383089611978,0.1606187025005664,-0.6774028303754214,1.114570719910536
outer_training,4.0,huber,0.25,huber_0.25,0.001,huber_0.25_lr0.001,1,11,0.13557098805904388,12;18;21;15,2676.0,0.6273465393215039,0.8653301352634757,0.7104266987064055,0.6361504006458608,0.6116762124972532,0.1333053744796124,-0.6943439852774349,1.1251396755298428
outer_training,4.0,huber,0.25,huber_0.25,0.003,huber_0.25_lr0.003,2,12,0.13608605042099953,12;13;15;11,2676.0,0.6266978940110236,0.8515225991712951,0.709692152617964,0.6402004239936706,0.6125714165463054,0.05946704600192113,-0.4246286779420433,1.082813214629415
