PC,eigenvalue,explained_variance_fraction
321,0.0001385666381680592,1.228367471675795e-06
322,0.0001352971222895243,1.1993838215965545e-06
323,0.0001340066440799063,1.1879439723185584e-06
324,0.00013269992357625634,1.1763601381253047e-06
325,0.00013227775794733264,1.1726177183546778e-06
326,0.00012876231932487195,1.1414540088962284e-06
327,0.0001275766051055733,1.1309428729045807e-06
328,0.0001264151762261167,1.1206470219331583e-06
329,0.00012435501311738398,1.1023840591986183e-06
330,0.00012308922892271802,1.0911631177696776e-06
331,0.0001224555607595564,1.0855457673759974e-06
332,0.00012040311729104498,1.0673512378160385e-06
333,0.00011890747390630403,1.0540926374246901e-06
334,0.00011736764839204793,1.0404423706737958e-06
335,0.00011524710807127243,1.0216441751856556e-06
336,0.00011440195101198153,1.0141520150682182e-06
337,0.00011320440008465054,1.003535948861687e-06
338,0.00011242369989012717,9.96615186860372e-07
339,0.00011022405132682363,9.771157115176606e-07
340,0.0001092013893595114,9.680500034094599e-07
341,0.00010808707481230981,9.581718122294337e-07
342,0.00010780749872859382,9.556934222530622e-07
343,0.0001058460742452445,9.383057590655303e-07
344,0.00010420239640642559,9.237348607756349e-07
345,0.00010400007620059092,9.219413297858115e-07
346,0.00010321631413400147,9.149934248581895e-07
347,0.00010274211119484793,9.107897040121747e-07
348,0.00010153173315804206,9.00059927866203e-07
349,0.00010056558582957749,8.914952115187299e-07
350,9.971372586445907e-05,8.839436313879829e-07
351,9.817801809096729e-05,8.703298676429966e-07
352,9.652655931278022e-05,8.556899927729857e-07
353,9.571899946727573e-05,8.485311249620619e-07
354,9.41432072105703e-05,8.345620197297627e-07
355,9.345397640078939e-05,8.284521168093728e-07
356,9.270809026781562e-05,8.218399749877043e-07
357,9.184154362421435e-05,8.141582001841716e-07
358,9.037976602501918e-05,8.011998136820909e-07
359,8.974134123552761e-05,7.955402966808068e-07
360,8.936765543132801e-05,7.922276415383108e-07
361,8.82830034765393e-05,7.826124037222927e-07
362,8.647595094392461e-05,7.665932191622901e-07
363,8.573071138107805e-05,7.599868090645266e-07
364,8.540318181802228e-05,7.570833204139472e-07
365,8.364723973209699e-05,7.415172204564586e-07
366,8.341166580311343e-05,7.394289013966621e-07
367,8.215935403547234e-05,7.28327390527203e-07
