dataset,cohort,model,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
validation,lower_Emax,concat_repr_plus_member_readouts_772d_ridge,76.0,0.5699761850462803,0.7169831256125434,1.4106048489328138,0.42939665745172784,0.3633753386168381,-0.4297663124850165,2.811404997520854,0.4708672673434308
validation,lower_Emax,mean_repr_384d_mlp32_fixed,76.0,0.5325401194472061,0.6639589592169117,1.3179562487904533,0.4654885952343402,0.452701463209847,-0.3388882560479013,2.7269255077655115,0.47994585716570354
validation,lower_Emax,mean_repr_plus_readouts_386d_mlp32_fixed,76.0,0.5966490724999453,0.7541132237148016,1.4766162110989784,0.34735553298329164,0.30464953039290227,-0.41474045197151616,3.307796168064863,0.3593834561618262
validation,lower_Emax,fine_tuned_continuous_head,76.0,0.555069825,0.6999446208668664,1.3737138624093783,0.36757748429618015,0.3854026440996695,-0.39870304868421047,2.8533605618413076,0.4583824572239705
validation,lower_Emax,fine_tuned_dual_branch_activity_adapter,76.0,0.5639452131578948,0.7087644330504841,1.3956791056952373,0.37254441811782313,0.38127337888811447,-0.41267637105263166,2.865533795811375,0.45710579415772523
validation,lower_Emax,lightgbm,76.0,0.5050430445388826,0.6576230453439883,1.2499051473325904,0.5391651934876361,0.4235915107747458,-0.32588181885446116,2.7000732280467066,0.4844214939463258
challenge,all,direct_affinity,513.0,0.6717785237360651,0.9564897386516844,0.8829409411890211,0.39007014083904595,0.4510789994208697,0.2544355284819129,-2.0380376319148863,1.3535583237655997
challenge,all,affinity_only_linear,513.0,0.8675366861714102,1.021610921739444,1.1402324294980537,0.3900701408390462,0.4510789994208697,-0.45024629430447355,0.04174185769686578,1.0941246577279478
challenge,all,binder_logit_only_linear,513.0,0.8576609859164466,1.009907135614932,1.1272524669509862,0.42596576739666026,0.4732834340728377,-0.4406382482243992,-1.3193121320091916,1.404619370512529
challenge,all,continuous_plus_binary_linear,513.0,0.8503208637023059,1.0016903570781166,1.117605099273686,0.43002583341794653,0.488663156966994,-0.43859548464814957,-0.27372684914341266,1.1636887732389367
challenge,all,continuous_plus_binary_polynomial2,513.0,0.8170972510552381,0.9719295813618503,1.0739381959955654,0.43233121947509245,0.4677524580895384,-0.3654504783827335,-0.5730574620187278,1.2121002342629055
challenge,all,mean_repr_384d_ridge,513.0,0.6354812681744669,0.8107819811205194,0.8352342464142305,0.6282825606198282,0.6700721561135704,-0.23441375912746262,-0.1919071446635851,1.0935762011380166
challenge,all,mean_repr_plus_readouts_386d_ridge,513.0,0.6354889113891862,0.8107964674125803,0.835244292146506,0.6282617513719858,0.6701566422594772,-0.23441891947963203,-0.19152354663551363,1.093493241064578
challenge,all,concat_repr_768d_ridge,513.0,0.6237121939519692,0.8063701519812291,0.8197657592510144,0.6230446465685953,0.6535309444191558,-0.2101550841935662,0.17642450046945243,1.0073645511465745
challenge,all,concat_repr_plus_member_readouts_772d_ridge,513.0,0.623706022615729,0.8063615703417534,0.8197576480577629,0.6230529910485557,0.6536015353038805,-0.21014673163272019,0.17644075708610582,1.0073591646928117
challenge,all,mean_repr_384d_mlp32_fixed,513.0,0.6247747772060639,0.8280156023721363,0.8211623478963975,0.58081452555229,0.61988947426598,-0.11639355644612752,0.9480377371229959,0.8220659147361703
challenge,all,mean_repr_plus_readouts_386d_mlp32_fixed,513.0,0.666978112171089,0.8683646107020353,0.8766316000065991,0.5493408431311947,0.5653036464848944,-0.2307458806822008,0.9103618905240963,0.8509462596605454
challenge,all,fine_tuned_continuous_head,513.0,0.6013735309941521,0.809218400813001,0.7904053087454119,0.6134865899454969,0.6572964820080093,-0.07390156257309943,-1.863948531348169,1.4108764871962427
challenge,all,fine_tuned_dual_branch_activity_adapter,513.0,0.6467418263157895,0.8204294545335057,0.8500343739150603,0.6185293986999527,0.6610556044063459,-0.21550093781676413,-0.923697068284663,1.2490169099873372
challenge,all,lightgbm,513.0,0.5164250652797187,0.7330912898189303,0.6787547042376476,0.6776713910335249,0.7477520285028052,-0.022897724494124635,-0.23920128203006477,1.0549775213373256
