dataset,representation,model_class,seed,n,mae,rmse,rae,pearson,spearman,bias,calibration_intercept,calibration_slope
nested_development,concat_768d,ridge,43,3344.0,0.6262024466987568,0.9374089759972086,0.6784264625058783,0.6123212865832875,0.6637836684161205,-0.009321811149124504,1.2322060161535633,0.7147559451030993
nested_development,concat_768d,ridge,44,3344.0,0.6262024466987568,0.9374089759972086,0.6784264625058783,0.6123212865832875,0.6637836684161205,-0.009321811149124504,1.2322060161535633,0.7147559451030993
nested_development,member1_384d,one_hidden_mlp,42,3344.0,0.694540788025197,1.0307749422070729,0.7524640830933294,0.51658796864822,0.5470846288590399,0.08096766380933453,1.5261691497630152,0.6328592038346994
nested_development,member1_384d,one_hidden_mlp,43,3344.0,0.6866803060460586,1.0109176944565077,0.7439480528369617,0.5240174755778115,0.5524643091354583,0.08777007510031637,1.3475549159066509,0.6726173303645202
nested_development,member1_384d,one_hidden_mlp,44,3344.0,0.6903185588737407,0.9898225442765498,0.7478897285819206,0.5316452816402181,0.5539271970141092,0.1513841368710008,0.9185273796966289,0.7594545780449555
nested_development,member1_384d,two_hidden_mlp,42,3344.0,0.6867691589089084,0.9641582277515115,0.7440443158486195,0.560918136746232,0.5551797636719605,0.05663359173633094,1.0506536874544865,0.7456328210688995
nested_development,member1_384d,two_hidden_mlp,43,3344.0,0.6938822891676522,0.9990886139779767,0.7517506667647228,0.5356274842377364,0.5314292172614546,0.11057730025751568,1.2339661350560138,0.6949107587676224
nested_development,member1_384d,two_hidden_mlp,44,3344.0,0.6953744105797903,1.0552789611959008,0.7533672280806404,0.5127614643833138,0.5456026140756043,0.07467790685444185,1.71543768619039,0.5904703599926149
nested_development,member2_384d,one_hidden_mlp,42,3344.0,0.6289030372245192,1.0990246832109298,0.6813522768119845,0.5308374682229622,0.6448463802295722,0.09033547059728025,1.9594386373553294,0.5327413031137918
nested_development,member2_384d,one_hidden_mlp,43,3344.0,0.6323094001600599,1.1411119445477396,0.6850427235174437,0.48977001086714356,0.64321826051355,0.09854278675562855,2.1153333857432584,0.4962756438307559
nested_development,member2_384d,one_hidden_mlp,44,3344.0,0.6273114431833767,0.9971570537901014,0.6796279470512654,0.5715706945313502,0.6443891611015279,0.05510860977392988,1.4911570016724738,0.6446657837555135
nested_development,member2_384d,two_hidden_mlp,42,3344.0,0.6326067972178934,1.3047826368486204,0.6853649228875824,0.4360818420719113,0.6393677310771116,0.09501649863083794,2.63148251802065,0.379140171432992
nested_development,member2_384d,two_hidden_mlp,43,3344.0,0.6376566449624802,1.8037388254175748,0.6908359177066132,0.3103336434903667,0.6491357330299694,0.11971796118143471,3.430943330406794,0.1959899738026832
nested_development,member2_384d,two_hidden_mlp,44,3344.0,0.6351824745297734,1.435367584883627,0.6881554064707551,0.40601872453625804,0.6494707059217061,0.031242532695450277,2.9273342012750714,0.3163651462884083
