false_positive_rate,true_positive_rate,score_threshold,cohort,threshold,curve,recall,precision
0.04054054054054054,0.03076256499133449,0.6082943677902222,development_all,4.0,roc,,
0.041505791505791506,0.03076256499133449,0.6057524085044861,development_all,4.0,roc,,
0.041505791505791506,0.03119584055459272,0.6047707796096802,development_all,4.0,roc,,
0.04247104247104247,0.03119584055459272,0.6027041673660278,development_all,4.0,roc,,
0.04247104247104247,0.033362218370883885,0.5992213487625122,development_all,4.0,roc,,
0.0444015444015444,0.033362218370883885,0.5974318981170654,development_all,4.0,roc,,
0.0444015444015444,0.036395147313691506,0.5949918627738953,development_all,4.0,roc,,
0.045366795366795366,0.036395147313691506,0.5926923751831055,development_all,4.0,roc,,
0.045366795366795366,0.047660311958405546,0.5703325271606445,development_all,4.0,roc,,
0.04633204633204633,0.047660311958405546,0.5681391954421997,development_all,4.0,roc,,
0.04633204633204633,0.04982668977469671,0.564387857913971,development_all,4.0,roc,,
0.0472972972972973,0.04982668977469671,0.5641573667526245,development_all,4.0,roc,,
0.0472972972972973,0.050693240901213174,0.5608850717544556,development_all,4.0,roc,,
0.04826254826254826,0.050693240901213174,0.5606496930122375,development_all,4.0,roc,,
0.04826254826254826,0.053292894280762566,0.5581302046775818,development_all,4.0,roc,,
0.04922779922779923,0.053292894280762566,0.5580310821533203,development_all,4.0,roc,,
0.04922779922779923,0.05545927209705372,0.5549303293228149,development_all,4.0,roc,,
0.05019305019305019,0.05545927209705372,0.5535786747932434,development_all,4.0,roc,,
0.05019305019305019,0.06022530329289428,0.5455652475357056,development_all,4.0,roc,,
0.05115830115830116,0.06022530329289428,0.5445765256881714,development_all,4.0,roc,,
0.05115830115830116,0.060658578856152515,0.5443106293678284,development_all,4.0,roc,,
0.052123552123552123,0.060658578856152515,0.5442765355110168,development_all,4.0,roc,,
0.052123552123552123,0.06109185441941074,0.5431022047996521,development_all,4.0,roc,,
0.05308880308880309,0.06109185441941074,0.5430765748023987,development_all,4.0,roc,,
0.05308880308880309,0.06152512998266898,0.5419222116470337,development_all,4.0,roc,,
0.05405405405405406,0.06152512998266898,0.541629433631897,development_all,4.0,roc,,
0.05405405405405406,0.06239168110918544,0.5408897399902344,development_all,4.0,roc,,
0.05501930501930502,0.06239168110918544,0.5407167077064514,development_all,4.0,roc,,
0.05501930501930502,0.07105719237435008,0.5247136950492859,development_all,4.0,roc,,
0.05694980694980695,0.07105719237435008,0.5240576267242432,development_all,4.0,roc,,
0.05694980694980695,0.07192374350086655,0.5236595273017883,development_all,4.0,roc,,
0.05791505791505792,0.07192374350086655,0.5232046246528625,development_all,4.0,roc,,
0.05791505791505792,0.07235701906412478,0.5231565237045288,development_all,4.0,roc,,
0.05888030888030888,0.07235701906412478,0.5228192210197449,development_all,4.0,roc,,
0.05888030888030888,0.07755632582322357,0.5147659182548523,development_all,4.0,roc,,
0.059845559845559844,0.07755632582322357,0.5143154859542847,development_all,4.0,roc,,
0.059845559845559844,0.07842287694974004,0.5135546922683716,development_all,4.0,roc,,
0.06177606177606178,0.07842287694974004,0.5128686428070068,development_all,4.0,roc,,
0.06177606177606178,0.08535528596187175,0.5025177001953125,development_all,4.0,roc,,
0.06274131274131274,0.08535528596187175,0.5022743940353394,development_all,4.0,roc,,
0.06274131274131274,0.08622183708838821,0.5018249154090881,development_all,4.0,roc,,
0.0637065637065637,0.08622183708838821,0.5017571449279785,development_all,4.0,roc,,
0.0637065637065637,0.08838821490467938,0.4979795813560486,development_all,4.0,roc,,
0.06467181467181467,0.08838821490467938,0.4979206919670105,development_all,4.0,roc,,
0.06467181467181467,0.08882149046793761,0.4970287680625915,development_all,4.0,roc,,
0.06660231660231661,0.08882149046793761,0.4961729049682617,development_all,4.0,roc,,
0.06660231660231661,0.09618717504332755,0.487878143787384,development_all,4.0,roc,,
0.06756756756756757,0.09618717504332755,0.4878418445587158,development_all,4.0,roc,,
0.06756756756756757,0.10788561525129983,0.4738484621047973,development_all,4.0,roc,,
0.06853281853281853,0.10788561525129983,0.4737327694892883,development_all,4.0,roc,,
0.06853281853281853,0.11395147313691507,0.467803031206131,development_all,4.0,roc,,
0.0694980694980695,0.11395147313691507,0.4673914313316345,development_all,4.0,roc,,
0.0694980694980695,0.115684575389948,0.466449499130249,development_all,4.0,roc,,
0.07046332046332046,0.115684575389948,0.4650198221206665,development_all,4.0,roc,,
0.07046332046332046,0.12045060658578856,0.4605796337127685,development_all,4.0,roc,,
0.07142857142857142,0.12045060658578856,0.4605321884155273,development_all,4.0,roc,,
0.07142857142857142,0.1265164644714038,0.4529331922531128,development_all,4.0,roc,,
0.07239382239382239,0.1265164644714038,0.4526193141937256,development_all,4.0,roc,,
0.07239382239382239,0.12738301559792028,0.4513586163520813,development_all,4.0,roc,,
0.07335907335907337,0.12738301559792028,0.450531542301178,development_all,4.0,roc,,
