model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters,dataset
mean_repr_plus_readouts_386d_ridge,mae,0.6327705975106406,0.6115858670406081,0.6547346065327068,2000,2931,development
mean_repr_plus_readouts_386d_ridge,rmse,0.898816657556815,0.830985672623229,0.977443730027814,2000,2931,development
mean_repr_plus_readouts_386d_ridge,rae,0.685542383793,0.6269868900309762,0.7405523035960792,2000,2931,development
mean_repr_plus_readouts_386d_ridge,pearson,0.6268709914184276,0.5524914561648602,0.693048708068914,2000,2931,development
mean_repr_plus_readouts_386d_ridge,spearman,0.653668480901868,0.6027310051026153,0.7082979659564688,2000,2931,development
mean_repr_plus_readouts_386d_ridge,bias,-0.011641747540828383,-0.04236175594317415,0.020746325093703236,2000,2931,development
concat_repr_768d_ridge,mae,0.6262034641223359,0.6009831937359743,0.6538809049288268,2000,2931,development
concat_repr_768d_ridge,rmse,0.9373871946942732,0.8045415514739657,1.1350722191655458,2000,2931,development
concat_repr_768d_ridge,rae,0.6784275647805232,0.6282105903729228,0.7332311865372358,2000,2931,development
concat_repr_768d_ridge,pearson,0.612333767280422,0.49232520931685936,0.7018151561145011,2000,2931,development
concat_repr_768d_ridge,spearman,0.6637833257086054,0.6159250858455563,0.7141953492483055,2000,2931,development
concat_repr_768d_ridge,bias,-0.009319897050636817,-0.0412159072236366,0.021789378811700164,2000,2931,development
concat_repr_plus_member_readouts_772d_ridge,mae,0.6262152052813594,0.600991362786323,0.6539089336578846,2000,2931,development
concat_repr_plus_member_readouts_772d_ridge,rmse,0.9375584027162666,0.8045628440162704,1.1354935087638955,2000,2931,development
concat_repr_plus_member_readouts_772d_ridge,rae,0.6784402851284301,0.6282083370158154,0.733242415229121,2000,2931,development
concat_repr_plus_member_readouts_772d_ridge,pearson,0.6122335790803267,0.4921491766524963,0.7018142058437131,2000,2931,development
concat_repr_plus_member_readouts_772d_ridge,spearman,0.6637746846509466,0.6159133474542039,0.7141902886400354,2000,2931,development
concat_repr_plus_member_readouts_772d_ridge,bias,-0.009322966940301694,-0.041219766856195536,0.021785409455628856,2000,2931,development
mean_repr_384d_mlp32_fixed,mae,0.6647458055482472,0.6360634455393384,0.6972818899891234,2000,2931,development
mean_repr_384d_mlp32_fixed,rmse,0.9607371899038796,0.8464406398653992,1.1150699434403701,2000,2931,development
mean_repr_384d_mlp32_fixed,rae,0.7201842594215676,0.6756206512773087,0.7686056804413757,2000,2931,development
mean_repr_384d_mlp32_fixed,pearson,0.5878001763116499,0.4987203429076935,0.6535411575421725,2000,2931,development
mean_repr_384d_mlp32_fixed,spearman,0.6228758981804767,0.5760592703475065,0.6703627511959239,2000,2931,development
mean_repr_384d_mlp32_fixed,bias,-0.03774186553521049,-0.07821899458495662,0.005583271790034521,2000,2931,development
mean_repr_plus_readouts_386d_mlp32_fixed,mae,0.6680736049793922,0.6470946423542959,0.6890632364350177,2000,2931,development
mean_repr_plus_readouts_386d_mlp32_fixed,rmse,0.9051294763021562,0.8636667502730451,0.9558218647847658,2000,2931,development
mean_repr_plus_readouts_386d_mlp32_fixed,rae,0.7237895905854793,0.665975360064992,0.7813603323074004,2000,2931,development
mean_repr_plus_readouts_386d_mlp32_fixed,pearson,0.6299697263710788,0.574834075952338,0.681731982718172,2000,2931,development
mean_repr_plus_readouts_386d_mlp32_fixed,spearman,0.6042131352187025,0.5476438487486676,0.6641983020724349,2000,2931,development
mean_repr_plus_readouts_386d_mlp32_fixed,bias,0.013563427797492688,-0.020429859146238055,0.04939682648815499,2000,2931,development
fine_tuned_continuous_head,mae,0.6329507983947217,0.6110683189306284,0.6556288974448615,2000,2931,development
fine_tuned_continuous_head,rmse,0.860099040900178,0.8316284053583616,0.8885903706240513,2000,2931,development
fine_tuned_continuous_head,rae,0.6857376130658528,0.634572132031648,0.7365266556197531,2000,2931,development
fine_tuned_continuous_head,pearson,0.6576018969174745,0.6117570669155017,0.6970752334624978,2000,2931,development
fine_tuned_continuous_head,spearman,0.625215523785095,0.5729817244261738,0.6820209821665176,2000,2931,development
fine_tuned_continuous_head,bias,0.09665846527102673,0.06226370943866542,0.13066617317699486,2000,2931,development
