dataset,representation,model,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_clusters
lockbox_all_790,ridge_member1_384d,all_pairs,rae,0.768186300567386,0.7157533311036123,0.8308220591728647,2000,735
lockbox_all_790,ridge_member1_384d,all_pairs,pearson,0.6091387965869607,0.5483965370801362,0.6614235228955901,2000,735
lockbox_all_790,ridge_member1_384d,all_pairs,spearman,0.5543003056924753,0.4939608048059556,0.6104298115085567,2000,735
lockbox_all_790,ridge_member1_384d,all_pairs,bias,-0.06128772922709018,-0.11890957541744807,-0.0027450242500260814,2000,735
lockbox_all_790,ridge_member1_384d,ligand_ligand_only,mae,0.6389962165446221,0.5989998086858083,0.6768322361430676,2000,735
lockbox_all_790,ridge_member1_384d,ligand_ligand_only,rmse,0.8329598550582726,0.7795074044247088,0.8842721134522132,2000,735
lockbox_all_790,ridge_member1_384d,ligand_ligand_only,rae,0.7593249482349653,0.7048639292586549,0.8240503585792056,2000,735
lockbox_all_790,ridge_member1_384d,ligand_ligand_only,pearson,0.62375245533521,0.5686098944135486,0.674904917904554,2000,735
lockbox_all_790,ridge_member1_384d,ligand_ligand_only,spearman,0.5846886938716245,0.5264542498757523,0.6377786902299118,2000,735
lockbox_all_790,ridge_member1_384d,ligand_ligand_only,bias,-0.07230503516861156,-0.12932742941512856,-0.013956049156832977,2000,735
lockbox_all_790,ridge_member1_384d,receptor_ligand_only,mae,0.6483094021157373,0.6090231303909387,0.6865410741623105,2000,735
lockbox_all_790,ridge_member1_384d,receptor_ligand_only,rmse,0.84860040374389,0.792599270362962,0.8986569959737154,2000,735
lockbox_all_790,ridge_member1_384d,receptor_ligand_only,rae,0.7703918903679409,0.7141342348868156,0.8334750398463515,2000,735
lockbox_all_790,ridge_member1_384d,receptor_ligand_only,pearson,0.6049877221859891,0.5422418905766864,0.6613353030987236,2000,735
lockbox_all_790,ridge_member1_384d,receptor_ligand_only,spearman,0.5389819264867047,0.4769539592476353,0.5977176037959442,2000,735
lockbox_all_790,ridge_member1_384d,receptor_ligand_only,bias,-0.06479989806308023,-0.12302568051579925,-0.004985494033782617,2000,735
nested_development,ridge_member2_384d,all_pairs,mae,0.6248929336789175,0.6003417637269027,0.6473113108225845,2000,2931
nested_development,ridge_member2_384d,all_pairs,rmse,0.8726289858224755,0.7990196652723338,0.978308975102557,2000,2931
nested_development,ridge_member2_384d,all_pairs,rae,0.6770077387523407,0.6257815562462891,0.7308707739640674,2000,2931
nested_development,ridge_member2_384d,all_pairs,pearson,0.6483313633570837,0.5615372571428401,0.7114170343111403,2000,2931
nested_development,ridge_member2_384d,all_pairs,spearman,0.6621509077254902,0.6155210348763988,0.7125171644415295,2000,2931
nested_development,ridge_member2_384d,all_pairs,bias,-0.0014945898462311443,-0.03340934821815967,0.03093477747360878,2000,2931
nested_development,ridge_member2_384d,ligand_ligand_only,mae,0.5923411508406173,0.5728686912520319,0.6107145647242646,2000,2931
nested_development,ridge_member2_384d,ligand_ligand_only,rmse,0.7986160114616789,0.77281139357874,0.8247736316282009,2000,2931
nested_development,ridge_member2_384d,ligand_ligand_only,rae,0.6417412031524384,0.5866811116187567,0.6938460070355051,2000,2931
nested_development,ridge_member2_384d,ligand_ligand_only,pearson,0.7094560839512396,0.6682730783870595,0.7463586581157,2000,2931
nested_development,ridge_member2_384d,ligand_ligand_only,spearman,0.6831054620926742,0.6374425798368398,0.7312354579708015,2000,2931
nested_development,ridge_member2_384d,ligand_ligand_only,bias,0.0072435887291106065,-0.02665239098532334,0.04313730649732808,2000,2931
nested_development,ridge_member2_384d,receptor_ligand_only,mae,0.6274666141352968,0.5984733484825508,0.6586565076147906,2000,2931
nested_development,ridge_member2_384d,receptor_ligand_only,rmse,1.0425132604498366,0.7978314400234365,1.4038044436324157,2000,2931
nested_development,ridge_member2_384d,receptor_ligand_only,rae,0.679796058946308,0.6272874254873053,0.7405887217425765,2000,2931
