scope,budget,fold,feature,target,method,adjustment,actual_covariates,n,nuisance_rank,correlation
native_unique,unique,pooled,member2_norm_l2,native_cached,pearson,none,,3344,1,-0.6855206055208919
native_unique,unique,pooled,member2_norm_l2,native_cached,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.6141630524781126
native_unique,unique,pooled,member2_norm_l2,native_cached,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.5824814382523467
native_unique,unique,pooled,member2_norm_l2,native_cached,spearman,none,,3344,1,-0.7515308486929305
native_unique,unique,pooled,member2_norm_l2,native_cached,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.69708352820525
native_unique,unique,pooled,member2_norm_l2,native_cached,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.6863135615456599
native_unique,unique,pooled,PC1,MW,pearson,none,,3344,1,-0.40210027966392636
native_unique,unique,pooled,PC1,MW,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.29784935574190224
native_unique,unique,pooled,PC1,MW,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.29784935574190224
native_unique,unique,pooled,PC1,MW,spearman,none,,3344,1,-0.21294204059976532
native_unique,unique,pooled,PC1,MW,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.10043281060054107
native_unique,unique,pooled,PC1,MW,spearman,fold_potency_charge_MW,fold;y_true;prepared_formal_charge,3344,11,-0.10043281060054107
native_unique,unique,pooled,PC1,heavy_atoms,pearson,none,,3344,1,-0.39783416371449115
native_unique,unique,pooled,PC1,heavy_atoms,pearson,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.2959344933141932
native_unique,unique,pooled,PC1,heavy_atoms,pearson,fold_potency_charge_MW,fold;y_true;prepared_formal_charge;MW,3344,12,-0.043266461271842326
native_unique,unique,pooled,PC1,heavy_atoms,spearman,none,,3344,1,-0.1992242620310729
native_unique,unique,pooled,PC1,heavy_atoms,spearman,fold_potency_charge,fold;y_true;prepared_formal_charge,3344,11,-0.08816223818179551
