lane,split,n_train,method,weighted_mae,mae,bias,spearman,pred_on_observed_slope,pred_on_observed_intercept,observed_on_pred_slope,observed_on_pred_intercept,sd_ratio,iqr_ratio,observed_mean,predicted_mean,observed_sd,predicted_sd,predicted_min,predicted_max,n_test,n_fit,n_calibration,fit_seconds,n_parameters,original_weighted_mae,original_mae,original_spearman,max_absolute_error,ensemble_spread_error_spearman,coverage_80,width_80,unbounded_rows_80,endpoint_boundary_disagreements_80,coverage_90,width_90,unbounded_rows_90,endpoint_boundary_disagreements_90
baselines,random,250,descriptor_lightgbm_rdkit_mordred,0.5405465101718656,0.6448103720884854,0.16268895069849307,0.6131065643506024,0.37218790485579945,2.8601811024522603,1.2427718671214756,-1.2593183408839481,0.5572727861914114,0.5267437384886553,4.2964657184361625,4.459154669134656,1.132196609555844,0.631067832880247,2.726205510158367,5.574313262173738,668.8,200.0,50.0,3.301002602360386,1038.1,0.5405465101718656,0.6448103720884854,0.6131065643506024,3.3214230161787737,,0.8117768498876685,2.137758116226034,0.0,0.0,0.9006529989348655,2.9467587466828618,0.0,0.0
baselines,random,250,native_affine,0.626398760295244,0.8268619197783365,0.3804827188696281,0.3852709816817893,0.10522959525653568,4.224804621984302,1.4217408375772624,-2.35606947564699,0.2783054269266907,0.24292285747645725,4.2964657184361625,4.67694843730579,1.132196609555844,0.31501373679160083,3.723260006904602,6.227875528335571,668.8,200.0,50.0,0.0037704217614373194,2.0,0.6263987602952439,0.8268619197783365,0.3852709816817893,3.6708611602783203,,0.8225086598104241,3.0362418716430666,0.0,0.0,0.9070239789479336,4.243762153244018,0.0,0.0
baselines,random,250,weighted_median,0.6352098173715744,0.9220022565706557,0.6155342815638376,,1.4439528983694114e-32,4.912,,,3.9179559531820187e-16,0.0,4.2964657184361625,4.912,1.132196609555844,4.440892098500626e-16,4.912,4.912,668.8,200.0,50.0,0.0033971153001766652,1.0,0.6352098173715744,0.9220022565706557,,3.2739999999999996,,0.8127926210359548,3.6685999999999996,0.0,0.0,0.9086695666962039,5.152,0.0,0.04
baselines,random,500,descriptor_lightgbm_rdkit_mordred,0.4939470229840223,0.5893174521944221,0.16026879224080426,0.6613472014518977,0.4470415109539608,2.5360732448960994,1.1449054626828614,-0.8070687542463333,0.6260821821151235,0.5675985485042452,4.2964657184361625,4.4567345106769665,1.132196609555844,0.708751386396153,2.4976739560409924,5.574535719717866,668.8,400.0,100.0,7.95068708907842,1162.0,0.4939470229840224,0.5893174521944221,0.6613472014518977,3.310733411919544,,0.7988043643654396,1.811426031498439,0.0,0.0,0.9070249187723206,2.6790538227549145,0.0,0.0
baselines,random,500,native_affine,0.624333298357488,0.8252905827460054,0.3820297107359781,0.3852711999075513,0.10592883206106066,4.223356243772994,1.377734117454818,-2.151051115162718,0.2800174913530538,0.24433411105203778,4.2964657184361625,4.67849542917214,1.132196609555844,0.31695091303005557,3.718395304679871,6.240304327011108,668.8,400.0,100.0,0.003825549880275503,2.0,0.6243332983574879,0.8252905827460054,0.3852711999075513,3.6784780712127683,,0.7955352076116824,2.7127649482727043,0.0,0.0,0.9004129856878171,4.075934281921387,0.0,0.0
baselines,random,500,weighted_median,0.6338288129212806,0.9225225156041581,0.6212342815638376,,-3.3469262820491067e-32,4.9177,,,4.558521703398153e-16,0.0,4.2964657184361625,4.9177,1.132196609555844,5.151434834260726e-16,4.9177,4.9177,668.8,400.0,100.0,0.0036528103999444285,1.0,0.6338288129212806,0.9225225156041581,,3.2796999999999996,,0.7982874609525346,3.455,0.0,0.02,0.9004728659273381,4.9832,0.0,0.0
original,chemical_cluster,-1,head_pretrained,0.5026236924131713,0.65233147900193,0.3300043788248306,0.6422562481657448,0.37319817568707747,3.024403863401509,1.1901687188405967,-1.2136866090408,0.5615954587069212,0.4140961032572919,4.296463995424785,4.626468374249616,1.1297950743124145,0.6353705508019101,1.6785192426045734,5.675098479588826,668.8,2140.0,535.2,18.19585431655949,592130.0,0.5026236924131715,0.65233147900193,0.6422562481657448,3.3768376828511553,0.16951543109697442,0.8022951406603833,2.0369326435089112,0.0,0.0,0.8987714257583488,3.0596574493408206,0.0,0.0
original,chemical_cluster,-1,head_random,0.5004668513430797,0.646468537624457,0.31710763691902133,0.6442598277876965,0.38426076011123833,2.963887971733695,1.1649887187863162,-1.0829601863882332,0.5760550202168266,0.4251007402141144,4.296463995424785,4.613571632343808,1.1297950743124145,0.6515397033158407,1.6250551549593606,5.656977748870849,668.8,2140.0,535.2,17.158394701879878,592130.0,0.5004668513430797,0.646468537624457,0.6442598277876965,3.383336948903401,0.14704619553684506,0.8009494911522248,2.005423121325175,0.0,0.0,0.9007161909365127,3.0307502358754475,0.0,0.0
original,chemical_cluster,-1,repr_mlp,0.5340014077778688,0.6776529019157473,0.19346543520753057,0.6332144134172007,0.5277816577554674,2.220575578119345,0.7368774338185381,0.9630575563589933,1.3609656496944254,0.5565995578841738,4.296463995424785,4.489929430632316,1.1297950743124145,1.532784591523899,-21.147739730974045,6.150869878133139,668.8,2140.0,535.2,4.599036513939864,98561.0,0.5340014077778688,0.6776529019157473,0.6332144134172007,24.760275009357766,0.0976643472578835,0.799483141340637,1.9742207605361939,0.0,0.0,0.8994286762797274,2.8904815553029373,0.0,0.0
original,chemical_cluster,-1,repr_ridge,0.520657738806025,0.6445048667026794,0.21025279294038235,0.6400378808623703,0.4414523561760393,2.610878726934021,0.9106527900554205,0.1775935948948049,0.8045632391363735,0.5121754972676557,4.296463995424785,4.506716788365169,1.1297950743124145,0.9147549477429127,-5.3525806912685665,6.729329436294826,668.8,2140.0,535.2,1.1327648155997303,769.0,0.5206577388060248,0.6445048667026794,0.6400378808623703,9.143375532542633,0.07632054252015937,0.8017546968842585,1.9678679087261053,0.0,0.0,0.9015241713881654,2.8770923794420185,0.0,0.0
original,chemical_cluster,25,head_pretrained,0.6343200842172498,0.840044598615851,0.4438109721344265,0.3966851707627184,0.1689913409071239,4.014664720622974,1.0830481093675106,-0.8595034168076626,0.3987504204649892,0.34201418882188134,4.296463995424785,4.740274967559213,1.1297950743124145,0.45090987419985973,2.8417408482233686,6.373968407313028,668.8,20.0,5.0,0.46102194946011876,592130.0,0.6343200842172498,0.840044598615851,0.3966851707627184,3.7792624518076576,0.02778096436648714,0.8361171826750087,3.6701602868398027,0.0,0.0,1.0,inf,668.8,0.0
original,chemical_cluster,25,head_random,0.625090288279952,0.8149107114596142,0.3686101102016082,0.4454037886346878,0.21676194955870615,3.7337057260571624,1.1356501696446772,-1.0656711096303735,0.48395258302286037,0.3375842292019812,4.296463995424785,4.6650741056263945,1.1297950743124145,0.5454963338326481,-0.17650219758351648,5.352791013717652,668.8,20.0,5.0,0.45898394464107695,592130.0,0.625090288279952,0.8149107114596142,0.4454037886346878,4.629454125897664,0.19522428485882945,0.83746627820592,3.5759376781463623,0.0,0.0,1.0,inf,668.8,0.0
original,chemical_cluster,25,repr_mlp,1.9236292926333027,2.113938136736033,-0.5492733315637262,0.1572496557796091,0.4128329190856813,1.995465848610288,0.06764096242031652,3.9763837947071914,3.972876287968586,1.2570870783007433,4.296463995424785,3.74719066386106,1.1297950743124145,4.485695500597421,-29.225067371055484,36.5247170453022,668.8,20.0,5.0,0.20630758669962235,98561.0,1.923629292633303,2.113938136736033,0.1572496557796091,56.920132890686226,0.17421527198612938,0.8024461391119107,8.45179660647114,0.0,0.0,1.0,inf,668.8,0.0
original,chemical_cluster,25,repr_ridge,0.6912887712605577,0.8869573301054036,0.2777136510803133,0.38831182021731214,0.13705716469981752,3.9849826099249492,1.6659270172905125,-3.5195267935665298,0.4498333093996711,0.15157333198634687,4.296463995424785,4.574177646505099,1.1297950743124145,0.5029320225539178,-2.1279825443382943,5.308498029795685,668.8,20.0,5.0,0.014832937040264369,769.0,0.6912887712605575,0.8869573301054036,0.38831182021731214,7.179810698368993,,0.8320790705584348,3.6471369621921217,0.0,0.0,1.0,inf,668.8,0.0
original,chemical_cluster,50,head_pretrained,0.6141268427038287,0.8197434099202328,0.4364956267931418,0.4309383422542765,0.18750596924787644,3.9276651234261846,1.1596846810478787,-1.219982792212097,0.4162341333969218,0.3280902800373744,4.296463995424785,4.732959622217928,1.1297950743124145,0.470437673544574,1.9694523310661316,6.090220301946004,668.8,40.0,10.0,0.5461126781804342,592130.0,0.6141268427038286,0.8197434099202328,0.4309383422542765,3.9170468702952075,0.03311846416535127,0.8342616560600773,3.298547065226237,0.0,0.0,0.9203433491760873,4.715364097849528,0.0,0.0
original,chemical_cluster,50,head_random,0.6072733661676889,0.7993246129334033,0.3772707911852261,0.45463023115036094,0.21161015904962588,3.764908003855883,1.127557908211719,-1.0013929248196474,0.470829398329831,0.30687520362688786,4.296463995424785,4.673734786610012,1.1297950743124145,0.5307329170702557,-0.21397135655085237,5.319678688049315,668.8,40.0,10.0,0.5290446815196629,592130.0,0.6072733661676889,0.7993246129334033,0.45463023115036094,4.4857174197422935,0.1913087414187972,0.8487387109189691,3.3029640974680587,0.0,0.0,0.9287434995479893,4.7457162896474205,0.0,0.0
