lane,split,n_train,method,stratum,prediction_rows,unique_compounds,chemical_groups,effective_n_identity,effective_n_cluster,sparse,weighted_mae,mae,bias,weighted_bias,weight_sum,weight_share
original,chemical_cluster,-1,repr_mlp,"novelty_[0.7,1]",48,6,5,3.234473979325862,2.9019427125586414,True,0.5444283035834362,0.9493214348620836,0.9200007309847408,0.4940394633100525,180.20489223906384,0.0008118915003960752
original,chemical_cluster,-1,repr_ridge,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,0.5204651307355397,0.6445049062592362,0.2102360920538959,-0.02784384657646741,221956.86511208978,1.0
original,chemical_cluster,-1,repr_ridge,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,0.9813068262208695,1.1409837963620502,0.9715527937800141,0.8205672352001617,36299.730764192434,0.16354407756597578
original,chemical_cluster,-1,repr_ridge,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,0.4303612436439479,0.4216486973569332,-0.13149878792368577,-0.1937253999787684,185657.13434789734,0.8364559224340242
original,chemical_cluster,-1,repr_ridge,potency_ge6_descriptive_tail,560,56,52,55.943540642841484,47.38653300749192,False,1.2286952344501554,1.230524176372537,-1.1677858608173546,-1.1655734309605492,5565.977961432507,0.025076845262802072
original,chemical_cluster,-1,repr_ridge,"novelty_[0,0.2)",208,39,32,15.180064056421697,7.742842710244153,True,1.1786280650676175,1.2604421476299057,0.1522825712328064,-0.4753583672280731,1019.7514963652806,0.004594367900494084
original,chemical_cluster,-1,repr_ridge,"novelty_[0.2,0.35)",23745,2858,1895,2103.400728468768,1189.5775339646748,False,0.5049494035685926,0.6189559249549323,0.16731868722739496,-0.0561937291516948,165118.50162164523,0.743921579259372
original,chemical_cluster,-1,repr_ridge,"novelty_[0.35,0.5)",8008,1003,511,742.945581766181,271.45546045887085,False,0.5451534553645647,0.6824649723370665,0.31011025045676355,0.05249080326648719,49036.35525147844,0.2209274095969716
original,chemical_cluster,-1,repr_ridge,"novelty_[0.5,0.7)",1431,172,91,121.27225640382227,50.42224772076024,False,0.6171632844991575,0.7492338791920337,0.3401337523993786,0.13247700175403673,6602.051850361735,0.02974475174276611
original,chemical_cluster,-1,repr_ridge,"novelty_[0.7,1]",48,6,5,3.234473979325862,2.9019427125586414,True,0.7520864905458705,1.1589683530820936,1.1571589564601716,0.7472669189586002,180.20489223906384,0.0008118915003960752
original,chemical_cluster,25,head_pretrained,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,0.6343284402467452,0.840041556549844,0.44380326740198744,0.08788612686584625,221956.86511208978,1.0
original,chemical_cluster,25,head_pretrained,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,1.421064090793975,1.6591282233461604,1.6371908101627417,1.3989297006287769,36299.730764192434,0.16354407756597578
original,chemical_cluster,25,head_pretrained,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,0.480505683056377,0.4723752711074767,-0.09187675612493697,-0.16844945062152666,185657.13434789734,0.8364559224340242
original,chemical_cluster,25,head_pretrained,potency_ge6_descriptive_tail,560,56,52,55.943540642841484,47.38653300749192,False,1.1393189386117815,1.1404119974517715,-1.1403518002346476,-1.1392583734391866,5565.977961432507,0.025076845262802072
original,chemical_cluster,25,head_pretrained,"novelty_[0,0.2)",14921,3044,1910,1952.5913227486642,1086.339125008473,False,0.6658133876754948,0.9124547079723165,0.5519089324959467,0.15419711947590528,96494.26048290667,0.4347433021915154
original,chemical_cluster,25,head_pretrained,"novelty_[0.2,0.35)",18336,3174,1842,2181.1889450760864,689.2455105274486,False,0.6086824627525201,0.7784092163410194,0.35160699881063645,0.03443852565449074,124565.70830591333,0.5612158391361617
original,chemical_cluster,25,head_pretrained,"novelty_[0.35,0.5)",169,151,101,106.42294148260436,64.71945161864315,False,0.796787245938591,1.0895217652951001,0.8284873509360018,0.34550483590552594,848.898610541864,0.003824610741880699
original,chemical_cluster,25,head_pretrained,"novelty_[0.5,0.7)",14,14,10,10.030128153228299,6.812809943228162,True,1.0214631141114117,1.372313157717387,1.3334134036018734,0.929925088703324,47.997712727912855,0.00021624793044213196
original,chemical_cluster,25,head_pretrained,"novelty_[0.7,1]",0,0,0,0.0,0.0,True,,,,,0.0,0.0
original,chemical_cluster,25,head_random,all,33440,3344,1975,2782.343188564992,1012.5588141842961,False,0.6251063605436854,0.8148995053830443,0.36856644544784745,0.03457875328318487,221956.86511208978,1.0
original,chemical_cluster,25,head_random,potency_lt4,10360,1036,617,818.9342623395673,280.80404787274347,False,1.3745729901464105,1.590574279606726,1.4833165732306097,1.282374329277968,36299.730764192434,0.16354407756597578
original,chemical_cluster,25,head_random,potency_ge4,23080,2308,1559,2141.272332721013,927.6002729621608,False,0.4785704519351522,0.46671966738662546,-0.13181532768167672,-0.20939055937724205,185657.13434789734,0.8364559224340242
original,chemical_cluster,25,head_random,potency_ge6_descriptive_tail,560,56,52,55.943540642841484,47.38653300749192,False,1.2949089594261092,1.295048440465008,-1.295048440465008,-1.2949089594261092,5565.977961432507,0.025076845262802072
original,chemical_cluster,25,head_random,"novelty_[0,0.2)",14921,3044,1910,1952.5913227486642,1086.339125008473,False,0.6604332886003954,0.8848189148023032,0.43086191787700845,0.06474987688871998,96494.26048290667,0.4347433021915154
